HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5911 ,MURDOCH CMS ,CONOCO PHILLIPS,03/08/2010 ,0.7,Gas,Minor
5913 ,BLEO HOLM ,TALISMAN ENERGY (UK) LIMITED,21/06/2010 ,6.0,Gas,Minor
5914 ,AUK A ,TALISMAN ENERGY (UK) LIMITED,23/08/2010 ,17.0,2-Phase,Minor
5918 ,NELSON ,SHELL U.K. (CENTRAL),22/05/2010 ,1.4,2-Phase,Significant
5920 ,BRENT BRAVO ,SHELL U.K. NORTHERN OPS,11/04/2010 ,21.0,Non-Process,Minor
5921 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,12/06/2010 ,0.0,Gas,Minor
5923 ,EVEREST NP ,BG INTERNATIONAL ,13/10/2010 ,10.0,Condensate,Minor
5926 ,CLIPPER PC ,SHELL U.K. SOUTHERN OPS,17/08/2010 ,0.1,Gas,Minor
5929 ,NINIAN CENTRAL ,CNR (CANADIAN NATIONAL RESOURCE),11/08/2010 ,255.0,Gas,Significant
5932 ,OSI ,BHP BILLITON,03/10/2010 ,50.0,Oil,Minor
5935 ,BALMORAL ,PREMIER OIL,28/09/2010 ,0.2,Non-Process,Minor
5943 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,20/09/2010 ,20.0,Non-Process,Minor
5944 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,22/09/2010 ,2.4,Non-Process,Minor
5950 ,MONTROSE ALPHA ,TALISMAN ENERGY (UK) LIMITED,14/10/2010 ,0.6,Gas,Minor
5952 ,PIPER B ,TALISMAN ENERGY (UK) LIMITED,17/10/2010 ,74.6,Gas,Significant
5953 ,AUK A ,TALISMAN ENERGY (UK) LIMITED,11/10/2010 ,199.0,Non-Process,Significant
5954 ,PIPER B ,TALISMAN ENERGY (UK) LIMITED,17/10/2010 ,0.4,Gas,Minor
5957 ,ALWYN NORTH B ,TOTAL E&P UK LTD,14/11/2010 ,13.0,Non-Process,Minor
5958 ,TARTAN A ,TALISMAN ENERGY (UK) LIMITED,17/10/2010 ,240.0,Non-Process,Significant
5962 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,28/06/2010 ,5.0,Gas,Significant
5963 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,25/08/2010 ,12.5,Gas,Significant
5964 ,SCOTT JD ,NEXEN PETROLEUM UK LTD,08/11/2010 ,24.0,Oil,Minor
5965 ,TARTAN A ,TALISMAN ENERGY (UK) LIMITED,20/10/2010 ,4.0,Non-Process,Minor
5966 ,MAERSK CURLEW ,MAERSK COMPANY LIMITED,12/08/2010 ,7.0,Non-Process,Minor
